,title,Release date,Rotten Tomatoes,Internet Movie Database,Metacritic
395,Frankenweenie,,0,0,0
396,Secret of the Wings,,0,0,0
397,Wreck-It Ralph,,0,0,0
398,Oz the Great and Powerful,,0,0,0
399,Wings of Life,,0,0,0
400,Monsters University,,0,0,0
401,The Lone Ranger,,0,0,0
402,Planes,,0,0,0
403,Super Buddies,2013-08-27,0,4.3,0
404,Frozen,,0,0,0
405,Saving Mr. Banks,,0,0,0
406,Muppets Most Wanted,,0,0,0
407,The Pirate Fairy,,0,0,0
408,Bears,2014-04-18,90,7.3,68
409,Million Dollar Arm,,0,0,0
410,Maleficent,,0,0,0
411,Planes: Fire & Rescue,,0,0,0
412,Khoobsurat,,0,0,0
413,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,0,0,0
414,Big Hero 6,,0,0,0
415,Into the Woods,,0,0,0
416,"McFarland, USA",,0,0,0
417,Tinker Bell and the Legend of the NeverBeast,,0,0,0
418,Cinderella,,0,0,0
419,Monkey Kingdom,2015-04-17,93,7.2,72
420,Tomorrowland,,0,0,0
421,Inside Out,,0,0,0
422,ABCD 2,,0,0,0
423,The Good Dinosaur,,0,0,0
424,The Finest Hours,,0,0,0
425,Zootopia,,0,0,0
426,The Jungle Book,,0,0,0
427,Tini: The Movie,,0,0,0
428,Alice Through the Looking Glass,,0,0,0
429,Finding Dory,,0,0,0
430,The BFG,,0,0,0
431,Pete's Dragon,,0,0,0
432,Queen of Katwe,,0,0,0
433,Moana,,0,0,0
434,Dangal,,0,0,0
435,March of the Penguins,,0,0,0
436,Beauty and the Beast,,0,0,0
437,Born in China,,0,0,0
438,Pirates of the Caribbean: Dead Men Tell No Tales,,0,0,0
439,Cars 3,,0,0,0
441,Jagga Jasoos,,0,0,0
442,The Last Knight,2017-10-29,15,5.2,27
443,Coco,,0,0,0
444,A Wrinkle in Time,,0,0,0
445,Incredibles 2,,0,0,0
446,Christopher Robin,,0,0,0
447,The Nutcracker and the Four Realms,,0,0,0
448,Ralph Breaks the Internet,,0,0,0
449,Mary Poppins Returns,,0,0,0
450,Dumbo,,0,0,0
451,Penguins,2019-04-17,92,7.0,69
452,Aladdin,,0,0,0
453,Toy Story 4,,0,0,0
454,The Lion King,,0,0,0
455,Maleficent: Mistress of Evil,2019-10-18,39,6.6,43
456,Lady and the Tramp,2019-11-12,65,6.2,48
457,Noelle,2019-11-12,54,6.3,48
458,Frozen II,,0,0,0
459,Togo,2019-12-20,92,8.0,69
460,Timmy Failure: Mistakes Were Made,,0,0,0
461,Onward,,0,0,0
462,Stargirl,2020-03-13,0,7.2,0
463,Dolphin Reef,,0,0,0
464,Elephant,2020-04-03,0,7.2,61
465,Artemis Fowl,2020-06-12,8,4.2,31
466,Hamilton,2020-07-03,98,8.4,90
467,Black Is King,2020-07-31,94,5.8,84
468,Magic Camp,2020-08-14,38,6.3,0
469,The One and Only Ivan,2020-08-21,71,6.5,58
470,Mulan,,0,0,0
471,Godmothered,2020-12-04,68,6.1,49
472,Safety,2020-12-11,80,6.8,55
473,Soul,,0,0,0
474,The Last Warrior: Root of Evil,2021-01-01,0,5.9,0
475,Flora & Ulysses,2021-02-19,0,0,0
476,Raya and the Last Dragon,2021-03-05,93,7.3,75
477,Cruella,,0,0,0
478,Luca,,0,0,0
479,Jungle Cruise,,0,0,0
480,Encanto,,0,0,0
481,Diary of a Wimpy Kid,2021-12-03,73,5.2,50
482,The Last Warrior: A Messenger of Darkness,2021-12-23,0,5.5,0
483,The Ice Age Adventures of Buck Wild,,0,0,0
484,Turning Red,,0,0,0
485,Cheaper by the Dozen,,0,0,0
486,Better Nate Than Ever,,0,0,0
487,Polar Bear,2022-04-22,0,0,0
495,Diary of a Wimpy Kid,2021-12-03,73,5.2,50
499,Three Men and a Baby,1987-11-25,76,6.1,61
501,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,0,0,0
502,Bambi,,0,0,0
505,Hercules,1997-06-13,84,7.3,74
506,The Hunchback of Notre Dame,,0,0,0
507,Inspector Gadget,1999-07-23,20,4.2,36
508,Lilo & Stitch,,0,0,0
509,National Treasure: Book of Secrets,2007-12-21,36,6.5,48
511,Robin Hood,1973-11-08,55,7.6,57
514,SpaceCamp,1986-06-06,46,5.7,40
516,The Aristocats,,0,0,0
517,The Sword in the Stone,1963-12-25,66,7.2,61
518,Tinker Bell,,0,0,0
519,The Rocketeer,1991-06-21,66,6.5,61
